"name","code","plannedCost","periods","actualCostPeriod"
"Build Change System","04-06-11-01",70135.86,87,34020.87
"Project Management Lead Revalidation","04-01-01-01",230631.59,88,6378.01
"Project Management Support Revalidation","04-01-01-02",489669.35,88,15183.4
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,88,4457.08
"FPD Project Support Revalidation","04-01-01-04",44738.26,88,2195.29
"Facility Engineering Revalidation","04-01-10-01",82117.33,88,120.77
"Geotechnical Engineering","04-01-10-02",17659.95,88,698.98
"Environmental Engineering","04-01-10-03",3653.37,88,314.07
"Build Change System","04-06-11-01",70135.86,88,-65.69
"Project Management Lead Revalidation","04-01-01-01",230631.59,89,5416.94
"Project Management Support Revalidation","04-01-01-02",489669.35,89,17056.4
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,89,5282.44
"FPD Project Support Revalidation","04-01-01-04",44738.26,89,1616.36
"Geotechnical Engineering","04-01-10-02",17659.95,89,262.12
"Land Consolidation - Hamilton & Olsen","06-07-17-03",2600,89,1300
"Project Management Lead Revalidation","04-01-01-01",230631.59,90,7513.82
"Project Management Support Revalidation","04-01-01-02",489669.35,90,13862.89
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,90,6041.76
"FPD Project Support Revalidation","04-01-01-04",44738.26,90,1990.56
"Facility Engineering Revalidation","04-01-10-01",82117.33,90,402.55
"Geotechnical Engineering","04-01-10-02",17659.95,90,174.75
"Print","04-06-11-02",33442.79,90,2647.93
"Project Management Lead Revalidation","04-01-01-01",230631.59,91,5504.31
"Project Management Support Revalidation","04-01-01-02",489669.35,91,13675.47
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,91,5018.31
"FPD Project Support Revalidation","04-01-01-04",44738.26,91,1690.74
"FPD Architecture Support Revalidation","04-01-01-05",41863.47,91,2118.75
"Facility Engineering Revalidation","04-01-10-01",82117.33,91,120.77
"Geotechnical Engineering","04-01-10-02",17659.95,91,43.69
"Survey","04-01-12-01",1884.9,91,447.3
"Geotechnical Services","04-02-05-04-01",850000,91,9126.35
"Project Management Lead Revalidation","04-01-01-01",230631.59,92,7601.19
"Project Management Support Revalidation","04-01-01-02",489669.35,92,16059.74
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,92,3598.65
"FPD Project Support Revalidation","04-01-01-04",44738.26,92,2334.81
"FPD Architecture Support Revalidation","04-01-01-05",41863.47,92,1310.57
"Facility Engineering Revalidation","04-01-10-01",82117.33,92,1245.4
"Geotechnical Engineering","04-01-10-02",17659.95,92,786.35
"Survey","04-01-12-01",1884.9,92,200.28
"Landscaping Internal","04-06-04-02",8856.18,92,3678.3
"Build Change System","04-06-11-01",70135.86,92,36180.68
"Print","04-06-11-02",33442.79,92,4558
"Project Management Lead Revalidation","04-01-01-01",230631.59,93,9610.7
"Project Management Support Revalidation","04-01-01-02",489669.35,93,17088.3
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,93,6966.19
"FPD Project Support Revalidation","04-01-01-04",44738.26,93,2375.09
"FPD Architecture Support Revalidation","04-01-01-05",41863.47,93,1026.61
"Facility Engineering Revalidation","04-01-10-01",82117.33,93,653.8
"Geotechnical Engineering","04-01-10-02",17659.95,93,305.81
"Survey","04-01-12-01",1884.9,93,600.84
"TID Inspector and Testing","04-01-12-02",250000,93,11006.65
"Geotechnical Services","04-02-05-04-01",850000,93,2230.61
"Print","04-06-11-02",33442.79,93,413.87
"Project Management Lead Revalidation","04-01-01-01",230631.59,94,6814.86
"Project Management Support Revalidation","04-01-01-02",489669.35,94,16897.22
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,94,3961.85
"FPD Project Support Revalidation","04-01-01-04",44738.26,94,1328.43
"FPD Architecture Support Revalidation","04-01-01-05",41863.47,94,1048.46
"Landscape Architect","04-01-01-11",28634.69,94,561.26
"Facility Engineering Revalidation","04-01-10-01",82117.33,94,4370.08
"Geotechnical Engineering","04-01-10-02",17659.95,94,655.28
"Landscaping Internal","04-06-04-02",8856.18,94,177.88
"Project Management Lead Revalidation","04-01-01-01",230631.59,95,4345
"Project Management Support Revalidation","04-01-01-02",489669.35,95,4016.66
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,95,1928.82
"FPD Project Support Revalidation","04-01-01-04",44738.26,95,1061.4
"FPD Architecture Support Revalidation","04-01-01-05",41863.47,95,549.92
"Landscape Architect","04-01-01-11",28634.69,95,706.38
"Facility Engineering Revalidation","04-01-10-01",82117.33,95,401.45
"Geotechnical Engineering","04-01-10-02",17659.95,95,157.07
"Survey","04-01-12-01",1884.9,95,99.4
